#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2NI
#Serial Number: SN:210321AA1EA8
#Date Time: 2020-05-19 16:47:40.564
#Sample rate: 1e+08Hz
#Samples: 4096

Time (s),Digital wave
-9.470000000000001e-06,1825
-9.459999999999999e-06,2270
-9.449999999999999e-06,1855
-9.439999999999999e-06,4095
-9.429999999999999e-06,4095
-9.42e-06,4095
-9.41e-06,4061
-9.4e-06,2268
-9.39e-06,2268
-9.38e-06,2268
-9.37e-06,2268
-9.36e-06,967
-9.35e-06,967
-9.34e-06,967
-9.33e-06,967
-9.320000000000001e-06,967
-9.310000000000001e-06,2268
-9.300000000000001e-06,2268
-9.290000000000001e-06,2268
-9.279999999999999e-06,2268
-9.269999999999999e-06,2268
-9.259999999999999e-06,3009
-9.25e-06,3009
-9.24e-06,3009
-9.23e-06,3009
-9.22e-06,3009
-9.21e-06,1342
-9.2e-06,4094
-9.19e-06,4094
-9.18e-06,4094
-9.17e-06,4094
-9.16e-06,3017
-9.15e-06,3009
-9.140000000000001e-06,3009
-9.130000000000001e-06,3009
-9.120000000000001e-06,3009
-9.109999999999999e-06,2268
-9.099999999999999e-06,2268
-9.089999999999999e-06,2268
-9.079999999999999e-06,2268
-9.07e-06,2268
-9.06e-06,967
-9.05e-06,967
-9.04e-06,967
-9.03e-06,967
-9.02e-06,967
-9.01e-06,2268
-9e-06,2268
-8.99e-06,2268
-8.98e-06,2268
-8.970000000000001e-06,2268
-8.960000000000001e-06,1827
-8.950000000000001e-06,4095
-8.940000000000001e-06,4095
-8.929999999999999e-06,4095
-8.919999999999999e-06,4095
-8.909999999999999e-06,2780
-8.899999999999999e-06,2268
-8.89e-06,2268
-8.88e-06,2268
-8.87e-06,2268
-8.86e-06,967
-8.85e-06,967
-8.84e-06,967
-8.83e-06,967
-8.82e-06,967
-8.81e-06,2268
-8.8e-06,2268
-8.790000000000001e-06,2268
-8.780000000000001e-06,2268
-8.770000000000001e-06,2268
-8.760000000000001e-06,3009
-8.749999999999999e-06,3009
-8.739999999999999e-06,3009
-8.729999999999999e-06,3009
-8.72e-06,3009
-8.71e-06,1342
-8.7e-06,4094
-8.69e-06,4094
-8.68e-06,4094
-8.67e-06,4094
-8.66e-06,3017
-8.65e-06,3009
-8.64e-06,3009
-8.63e-06,3009
-8.62e-06,3009
-8.610000000000001e-06,2268
-8.600000000000001e-06,2268
-8.590000000000001e-06,2268
-8.579999999999999e-06,2268
-8.569999999999999e-06,2268
-8.559999999999999e-06,967
-8.549999999999999e-06,967
-8.54e-06,967
-8.53e-06,967
-8.52e-06,967
-8.51e-06,2268
-8.5e-06,2268
-8.49e-06,2268
-8.48e-06,2268
-8.47e-06,2268
-8.46e-06,1827
-8.45e-06,4095
-8.440000000000001e-06,4095
-8.430000000000001e-06,4095
-8.420000000000001e-06,4095
-8.410000000000001e-06,3903
-8.399999999999999e-06,1825
-8.389999999999999e-06,1825
-8.379999999999999e-06,1825
-8.369999999999999e-06,1825
-8.36e-06,3126
-8.35e-06,3126
-8.34e-06,3126
-8.33e-06,3126
-8.32e-06,3126
-8.31e-06,1825
-8.3e-06,1825
-8.29e-06,1825
-8.28e-06,1825
-8.27e-06,1825
-8.260000000000001e-06,1084
-8.250000000000001e-06,1084
-8.240000000000001e-06,1084
-8.230000000000001e-06,1084
-8.219999999999999e-06,1084
-8.209999999999999e-06,2
-8.199999999999999e-06,0
-8.19e-06,0
-8.18e-06,0
-8.17e-06,0
