#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2NI
#Serial Number: SN:210321AA1EA8
#Date Time: 2020-05-15 16:56:38.755
#Sample rate: 1e+08Hz
#Samples: 4096

Time (s),Bus
-2.68e-05,4079
-2.679e-05,3071
-2.678e-05,4062
-2.677e-05,2822
-2.676e-05,1935
-2.675e-05,1675
-2.674e-05,1675
-2.673e-05,1675
-2.672e-05,3959
-2.671e-05,974
-2.67e-05,774
-2.669e-05,3285
-2.668e-05,196
-2.667e-05,196
-2.666e-05,196
-2.665e-05,4
-2.664e-05,0
-2.663e-05,0
-2.662e-05,196
-2.661e-05,196
-2.66e-05,196
-2.659e-05,774
-2.658e-05,774
-2.657e-05,774
-2.656e-05,1675
-2.655e-05,1675
-2.654e-05,1675
-2.653e-05,3723
-2.652e-05,3895
-2.651e-05,3022
-2.65e-05,2822
-2.649e-05,4079
-2.648e-05,4079
-2.647e-05,4079
-2.646e-05,2047
-2.645e-05,2047
-2.644e-05,4087
-2.643e-05,3319
-2.642e-05,3963
-2.641e-05,2546
-2.64e-05,2418
-2.639e-05,3319
-2.638e-05,3319
-2.637e-05,3319
-2.636e-05,4029
-2.635e-05,3903
-2.634e-05,4089
-2.633e-05,3963
-2.632e-05,4095
-2.631e-05,4094
-2.63e-05,4094
-2.629e-05,3897
-2.628e-05,3899
-2.627e-05,3901
-2.626e-05,4087
-2.625e-05,3319
-2.624e-05,3319
-2.623e-05,3319
-2.622e-05,3963
-2.621e-05,2546
-2.62e-05,2418
-2.619e-05,1271
-2.618e-05,1271
-2.617e-05,1271
-2.616e-05,4079
-2.615e-05,4079
-2.614e-05,4079
-2.613e-05,4079
-2.612e-05,3863
-2.611e-05,3070
-2.61e-05,2822
-2.609e-05,1675
-2.608e-05,1675
-2.607e-05,1675
-2.606e-05,910
-2.605e-05,3871
-2.604e-05,774
-2.603e-05,774
-2.602e-05,196
-2.601e-05,196
-2.6e-05,196
-2.599e-05,3899
-2.598e-05,196
-2.597e-05,0
-2.596e-05,196
-2.595e-05,196
-2.594e-05,196
-2.593e-05,196
-2.592e-05,774
-2.591e-05,838
-2.59e-05,774
-2.589e-05,1675
-2.588e-05,1675
-2.587e-05,1675
-2.586e-05,2958
-2.585e-05,3871
-2.584e-05,2822
-2.583e-05,2823
-2.582e-05,4079
-2.581e-05,4079
-2.58e-05,4079
-2.579e-05,1271
-2.578e-05,2047
-2.577e-05,4087
-2.576e-05,3583
-2.575e-05,3959
-2.574e-05,2418
-2.573e-05,2419
-2.572e-05,3319
-2.571e-05,3319
-2.57e-05,3319
-2.569e-05,3897
-2.568e-05,4095
-2.567e-05,3897
-2.566e-05,4094
-2.565e-05,4095
-2.564e-05,4094
-2.563e-05,4095
-2.562e-05,3897
-2.561e-05,3899
-2.56e-05,3897
-2.559e-05,3319
-2.558e-05,3327
-2.557e-05,3319
-2.556e-05,3071
-2.555e-05,3959
-2.554e-05,2418
-2.553e-05,2419
-2.552e-05,1271
-2.551e-05,1271
-2.55e-05,1271
-2.549e-05,4079
-2.548e-05,4079
-2.547e-05,4079
-2.546e-05,4095
-2.545e-05,3919
-2.544e-05,2982
-2.543e-05,2823
-2.542e-05,1675
-2.541e-05,1675
-2.54e-05,1675
-2.539e-05,2934
-2.538e-05,1950
-2.537e-05,774
-2.536e-05,3014
-2.535e-05,228
-2.534e-05,196
-2.533e-05,196
-2.532e-05,3890
-2.531e-05,193
-2.53e-05,0
-2.529e-05,196
-2.528e-05,196
-2.527e-05,196
-2.526e-05,902
-2.525e-05,774
-2.524e-05,774
-2.523e-05,774
-2.522e-05,1675
-2.521e-05,1675
-2.52e-05,1675
-2.519e-05,2902
-2.518e-05,3982
-2.517e-05,2822
-2.516e-05,4079
-2.515e-05,4079
-2.514e-05,4079
-2.513e-05,4095
-2.512e-05,1271
-2.511e-05,4095
-2.51e-05,2039
-2.509e-05,2938
-2.508e-05,4087
-2.507e-05,2418
-2.506e-05,3319
-2.505e-05,3319
-2.504e-05,3319
-2.503e-05,3319
-2.502e-05,3897
-2.501e-05,4091
-2.5e-05,3897
-2.499e-05,4094
-2.498e-05,4094
-2.497e-05,4094
-2.496e-05,4093
-2.495e-05,3897
-2.494e-05,3897
-2.493e-05,3963
-2.492e-05,3319
-2.491e-05,3831
-2.49e-05,3319
-2.489e-05,2938
-2.488e-05,3062
-2.487e-05,2418
-2.486e-05,1271
-2.485e-05,1271
-2.484e-05,1271
-2.483e-05,3319
-2.482e-05,4079
-2.481e-05,4079
-2.48e-05,4079
-2.479e-05,3071
-2.478e-05,4062
-2.477e-05,2822
-2.476e-05,1935
-2.475e-05,1675
-2.474e-05,1675
-2.473e-05,1675
-2.472e-05,3959
-2.471e-05,974
-2.47e-05,774
-2.469e-05,3285
-2.468e-05,196
-2.467e-05,196
-2.466e-05,132
-2.465e-05,4
-2.464e-05,0
-2.463e-05,0
-2.462e-05,196
