Time (s),Bus
0.04004067,67
0.04004068,913
0.04004069,1574
0.0400407,3362
0.04004071,4058
0.04004072,3535
0.04004073,3580
0.04004074,558
0.04004075,79
0.04004076,731
0.04004077,1983
0.04004078,3882
0.04004079,4090
0.0400408,3439
0.04004081,1811
0.04004082,310
0.04004083,31
0.04004084,1128
0.04004085,471
0.04004086,3688
0.04004087,4008
0.04004088,2683
0.04004089,1858
0.0400409,277
0.04004091,167
0.04004092,1638
0.04004093,1875
0.04004094,279
0.04004095,167
0.04004096,1128
0.04004097,2965
0.04004098,3926
0.04004099,3755
0.040041,2748
0.04004101,2965
0.04004102,4062
0.04004103,3275
0.04004104,2220
0.04004105,702
0.04004106,67
0.04004107,731
0.04004108,1574
0.04004109,3362
0.0400411,4090
0.04004111,3535
0.04004112,1813
0.04004113,574
0.04004114,31
0.04004115,1130
0.04004116,411
0.04004117,3624
0.04004118,4072
0.04004119,3171
0.0400412,1875
0.04004121,1303
0.04004122,167
0.04004123,1638
0.04004124,1809
0.04004125,310
0.04004126,31
0.04004127,1128
0.04004128,2453
0.04004129,3926
0.0400413,3753
0.04004131,2747
0.04004132,2965
0.04004133,3926
0.04004134,3755
0.04004135,2748
0.04004136,986
0.04004137,67
0.04004138,913
0.04004139,1574
0.0400414,970
0.04004141,85
0.04004142,405
0.04004143,1574
0.04004144,3362
0.04004145,4090
0.04004146,3535
0.04004147,2284
0.04004148,3882
0.04004149,4090
0.0400415,3439
0.04004151,1811
0.04004152,310
0.04004153,31
0.04004154,1128
0.04004155,1809
0.04004156,574
0.04004157,31
0.04004158,1626
0.04004159,2455
0.0400416,3668
0.04004161,4008
0.04004162,2811
0.04004163,1875
0.04004164,279
0.04004165,167
0.04004166,1128
0.04004167,2965
0.04004168,3926
0.04004169,3755
0.0400417,2236
0.04004171,1858
0.04004172,341
0.04004173,181
0.04004174,1638
0.04004175,3362
0.04004176,4058
0.04004177,3535
0.04004178,2284
0.04004179,922
0.0400418,67
0.04004181,405
0.04004182,1574
0.04004183,3882
0.04004184,4090
0.04004185,3439
0.04004186,2284
0.04004187,686
0.04004188,75
0.04004189,731
0.0400419,2455
0.04004191,3688
0.04004192,4008
0.04004193,2675
0.04004194,1873
0.04004195,310
0.04004196,31
0.04004197,1128
0.04004198,2453
0.04004199,3926
0.040042,3753
0.04004201,2747
0.04004202,1875
0.04004203,279
0.04004204,167
0.04004205,1638
0.04004206,2961
0.04004207,4062
0.04004208,3275
0.04004209,2220
0.0400421,970
0.04004211,85
0.04004212,405
0.04004213,1574
0.04004214,3362
0.04004215,4090
0.04004216,3535
0.04004217,2284
0.04004218,3882
0.04004219,4090
0.0400422,3439
0.04004221,1811
0.04004222,310
0.04004223,31
0.04004224,1128
0.04004225,471
0.04004226,3688
0.04004227,4008
0.04004228,2675
0.04004229,1858
0.0400423,277
0.04004231,167
0.04004232,1638
0.04004233,1875
0.04004234,279
0.04004235,183
0.04004236,1128
0.04004237,2965
0.04004238,3926
0.04004239,3755
0.0400424,2748
0.04004241,2965
0.04004242,4054
0.04004243,3275
0.04004244,2220
0.04004245,702
0.04004246,67
0.04004247,731
0.04004248,1574
0.04004249,986
0.0400425,67
0.04004251,405
0.04004252,1574
0.04004253,3882
0.04004254,4090
0.04004255,3439
0.04004256,2284
0.04004257,558
0.04004258,75
0.04004259,731
0.0400426,2455
0.04004261,3688
0.04004262,4008
0.04004263,2675
0.04004264,1873
0.04004265,310
0.04004266,31
0.04004267,1128
0.04004268,2453
0.04004269,3926
0.0400427,3753
0.04004271,2747
0.04004272,2965
0.04004273,3926
0.04004274,3755
0.04004275,2236
0.04004276,986
0.04004277,67
0.04004278,913
0.04004279,1574
0.0400428,970
0.04004281,85
